frame.time_epoch,ip.src,ip.dst,frame.len,tcp.srcport,tcp.dstport
1751014014.425093000,8.8.8.8,172.16.10.60,71,,
1751014014.430058000,172.16.10.60,8.8.8.8,230,,
1751014014.430599000,172.16.10.60,8.8.8.8,230,,
1751014014.457747000,8.8.8.8,172.16.10.60,82,,
1751014014.457751000,8.8.8.8,172.16.10.60,557,,
1751014014.457754000,8.8.8.8,172.16.10.60,577,,
1751014014.457756000,8.8.8.8,172.16.10.60,66,,
1751014014.457759000,8.8.8.8,172.16.10.60,66,,
1751014014.458087000,172.16.10.60,8.8.8.8,75,,
1751014014.458339000,172.16.10.60,8.8.8.8,76,,
1751014014.458658000,172.16.10.60,8.8.8.8,76,,
1751014014.468488000,,,98,53159,5222
1751014014.475363000,8.8.8.8,172.16.10.60,73,,
1751014014.475365000,8.8.8.8,172.16.10.60,73,,
1751014014.475368000,8.8.8.8,172.16.10.60,71,,
1751014014.486202000,,,94,5222,53159
1751014014.486505000,,,86,53159,5222
1751014014.486650000,,,90,53159,5222
1751014014.486681000,,,93,53159,5222
1751014014.486698000,,,90,53159,5222
1751014014.487723000,,,377,53159,5222
1751014014.500499000,,,86,5222,53159
1751014014.500502000,,,86,5222,53159
1751014014.500505000,,,86,5222,53159
1751014014.634641000,172.16.10.72,224.0.0.251,518,,
1751014014.635473000,,,538,,
1751014014.635486000,172.16.10.72,224.0.0.251,93,,
1751014014.635891000,,,113,,
1751014014.703088000,,,143,5222,53159
1751014014.703091000,,,150,5222,53159
1751014014.703459000,,,86,53159,5222
1751014014.715538000,,,141,53159,5222
1751014014.716006000,,,119,53159,5222
1751014014.716048000,,,127,53159,5222
1751014014.727779000,,,86,5222,53159
1751014014.727783000,,,86,5222,53159
1751014014.727786000,,,86,5222,53159
1751014014.850844000,,,132,5222,53159
1751014014.851240000,,,86,53159,5222
1751014014.902253000,,,136,5222,53159
1751014014.902656000,,,86,53159,5222
1751014014.904874000,,,1466,5222,53159
1751014014.904877000,,,197,5222,53159
1751014014.904879000,,,792,5222,53159
1751014014.904883000,,,124,5222,53159
1751014014.905064000,,,86,53159,5222
1751014014.927075000,,,133,5222,53159
1751014014.927270000,,,86,53159,5222
1751014014.941093000,172.16.10.72,224.0.0.251,93,,
1751014014.941386000,,,113,,
1751014014.947192000,,,132,53159,5222
1751014014.947301000,,,138,53159,5222
1751014014.947335000,,,132,53159,5222
1751014014.949229000,,,388,53159,5222
1751014014.950892000,,,132,53159,5222
1751014014.956425000,,,86,5222,53159
1751014014.961824000,,,86,5222,53159
1751014014.961827000,,,98,5222,53159
1751014014.961829000,,,86,5222,53159
1751014014.961831000,,,86,5222,53159
1751014014.962018000,,,132,53159,5222
1751014014.962024000,,,132,53159,5222
1751014014.962026000,,,132,53159,5222
1751014014.962151000,,,133,53159,5222
1751014014.969351000,,,132,53159,5222
1751014014.971641000,,,98,5222,53159
1751014014.971644000,,,98,5222,53159
1751014014.971646000,,,98,5222,53159
1751014014.971647000,,,86,5222,53159
1751014014.977020000,,,134,53159,5222
1751014014.980765000,,,86,5222,53159
1751014014.987457000,,,132,53159,5222
1751014014.990132000,,,86,5222,53159
1751014014.995244000,,,132,53159,5222
1751014015.001215000,,,132,53159,5222
1751014015.003700000,,,86,5222,53159
1751014015.003826000,,,86,5222,53159
1751014015.008403000,,,132,53159,5222
1751014015.012805000,,,86,5222,53159
1751014015.017042000,,,132,53159,5222
1751014015.019600000,,,86,5222,53159
1751014015.025598000,,,132,53159,5222
1751014015.029223000,,,86,5222,53159
1751014015.042043000,,,86,5222,53159
1751014015.145971000,172.16.10.72,224.0.0.251,93,,
1751014015.146292000,,,113,,
1751014015.165596000,,,125,5222,53159
1751014015.165814000,,,86,53159,5222
1751014015.170282000,,,127,53159,5222
1751014015.179278000,,,86,5222,53159
1751014015.380514000,,,133,5222,53159
1751014015.380786000,,,86,53159,5222
1751014015.385626000,,,109,53159,5222
1751014015.394639000,,,86,5222,53159
1751014015.394643000,,,86,5222,53159
1751014015.456734000,172.16.10.72,224.0.0.251,639,,
1751014015.456737000,172.16.10.72,224.0.0.251,575,,
1751014015.761315000,,,86,5222,53159
1751014015.761641000,,,86,53159,5222
1751014015.762333000,,,86,53159,5222
1751014015.781169000,,,86,5222,53159
1751014015.781172000,,,86,5222,53159
1751014015.781363000,,,74,53159,5222
1751014017.503782000,172.16.10.72,172.16.10.255,86,,
1751014017.768488000,,,74,61555,443
1751014017.773443000,,,125,443,61555
1751014017.773446000,,,110,443,61555
1751014017.773449000,,,86,443,61555
1751014017.773453000,,,86,443,61555
1751014017.773840000,,,86,61555,443
1751014017.773938000,,,86,61555,443
1751014017.774291000,,,86,61555,443
1751014017.818068000,,,86,443,61555
1751014017.818421000,,,86,443,61555
1751014019.651921000,,,102,,
1751014019.754458000,172.16.10.56,224.0.0.251,82,,
1751014020.675738000,172.16.10.56,224.0.0.251,82,,
1751014020.778122000,,,102,,
1751014021.700288000,172.16.10.70,224.0.0.251,386,,
1751014021.700839000,,,406,,
1751014021.700843000,172.16.10.70,224.0.0.251,93,,
1751014021.802194000,,,113,,
1751014022.007039000,172.16.10.70,224.0.0.251,93,,
1751014022.109347000,,,113,,
1751014022.211672000,172.16.10.70,224.0.0.251,93,,
1751014022.314342000,,,113,,
1751014022.417162000,172.16.10.70,224.0.0.251,507,,
1751014022.417878000,,,527,,
1751014022.418645000,172.16.10.70,224.0.0.251,443,,
1751014022.519531000,,,463,,
1751014022.723710000,172.16.10.56,224.0.0.251,82,,
1751014022.826270000,,,102,,
1751014026.615258000,172.16.10.78,224.0.0.251,136,,
1751014026.719882000,,,156,,
1751014029.994296000,172.16.10.76,224.0.0.251,82,,
1751014029.994382000,,,102,,
1751014029.994497000,172.16.10.76,224.0.0.251,82,,
1751014029.994578000,,,102,,
1751014029.995122000,172.16.10.76,224.0.0.251,82,,
1751014029.995125000,,,102,,
1751014029.995498000,172.16.10.76,224.0.0.251,82,,
1751014030.096419000,,,102,,
1751014031.018291000,172.16.10.76,224.0.0.251,82,,
1751014031.018374000,,,102,,
1751014031.018495000,172.16.10.76,224.0.0.251,82,,
1751014031.018539000,,,102,,
1751014031.019098000,172.16.10.76,224.0.0.251,82,,
1751014031.019102000,,,102,,
1751014031.019477000,172.16.10.76,224.0.0.251,82,,
1751014031.120401000,,,102,,
1751014032.963730000,172.16.10.76,224.0.0.251,82,,
1751014032.964038000,,,102,,
1751014032.964040000,172.16.10.76,224.0.0.251,82,,
1751014033.066241000,,,102,,
1751014033.066328000,172.16.10.76,224.0.0.251,82,,
1751014033.066591000,,,102,,
1751014033.066594000,172.16.10.76,224.0.0.251,82,,
1751014033.067075000,,,102,,
1751014033.746836000,,,74,61552,443
1751014033.769599000,,,86,443,61552
1751014038.186404000,172.16.10.62,172.16.10.255,243,,
1751014038.801835000,,,86,,
1751014038.805930000,,,78,,
1751014038.903142000,,,60,,
1751014038.903220000,,,42,,
1751014038.905952000,172.16.10.20,172.16.10.60,78,51129,7000
1751014038.906433000,172.16.10.60,172.16.10.20,78,7000,51129
1751014038.915127000,172.16.10.20,172.16.10.60,66,51129,7000
1751014038.915130000,172.16.10.20,172.16.10.60,107,51129,7000
1751014038.915327000,172.16.10.60,172.16.10.20,66,7000,51129
1751014038.932287000,172.16.10.60,172.16.10.20,1514,7000,51129
1751014038.932338000,172.16.10.60,172.16.10.20,524,7000,51129
1751014038.952550000,172.16.10.60,172.16.10.20,1514,7000,51129
1751014038.962513000,172.16.10.20,172.16.10.60,66,51129,7000
1751014038.962516000,172.16.10.20,172.16.10.60,66,51129,7000
1751014038.962732000,172.16.10.60,172.16.10.20,66,7000,51129
1751014038.962877000,172.16.10.60,172.16.10.20,66,7000,51129
1751014038.964849000,172.16.10.20,172.16.10.60,78,51129,7000
1751014038.971010000,172.16.10.20,172.16.10.60,66,51129,7000
1751014041.495100000,,,74,61553,443
